tburn_s,thrust_N,empty_rocket_mass_kg,motor_dry_mass_without_tank_kg,apogee_altitude_AGL_m,rail_exit_velocity_mps
9.3,3600,20.3333333333333,21.6666666666667,7944.06011880882,30.3057317773309
9.3,3600,20.3333333333333,25,7566.80644245674,29.3664453084083
9.3,3600,22.6666666666667,15,8476.7364909831,31.7627117485297
9.3,3600,22.6666666666667,18.3333333333333,8061.50142973049,30.590575284479
9.3,3600,22.6666666666667,21.6666666666667,7675.41781508138,29.647368363112
9.3,3600,22.6666666666667,25,7318.59053372013,28.7551025482821
9.3,3600,25,15,8182.01756799746,30.8924135626901
9.3,3600,25,18.3333333333333,7787.23718960968,30.0826542549345
9.3,3600,25,21.6666666666667,7421.37405010362,29.011140059397
9.3,3600,25,25,7084.80047833624,28.2568353288486
9.3,3800,18,15,9629.25179228081,33.8554278371637
9.3,3800,18,18.3333333333333,9145.97774389512,32.7035694895203
9.3,3800,18,21.6666666666667,8692.96837249368,31.655994803479
9.3,3800,18,25,8270.02783611244,30.6754611116492
9.3,3800,20.3333333333333,15,9286.25247770432,33.0437532368775
9.3,3800,20.3333333333333,18.3333333333333,8824.17418888327,31.973949574127
9.3,3800,20.3333333333333,21.6666666666667,8392.14641420555,30.9646474573294
9.3,3800,20.3333333333333,25,7989.99365219283,30.1196097583952
9.3,3800,22.6666666666667,15,8958.48262124187,32.2723871475913
9.3,3800,22.6666666666667,18.3333333333333,8517.16526059539,31.2495279208344
9.3,3800,22.6666666666667,21.6666666666667,8106.22019638108,30.3062545480372
9.3,3800,22.6666666666667,25,7724.00856406319,29.4140160663757
9.3,3800,25,15,8645.7048946075,31.7221985385131
9.3,3800,25,18.3333333333333,8225.22475731618,30.5755841084843
9.3,3800,25,21.6666666666667,7834.54366223269,29.6837424992349
9.3,3800,25,25,7472.64481363498,28.8278567870494
9.3,4000,18,15,10164.4406776663,34.4537433055125
9.3,4000,18,18.3333333333333,9652.3616702462,33.3453383406376
9.3,4000,18,21.6666666666667,9172.08872337639,32.2676188332705
9.3,4000,18,25,8723.40048507015,31.2935649122565
9.3,4000,20.3333333333333,15,9800.95116219354,33.6685963606457
9.3,4000,20.3333333333333,18.3333333333333,9311.1437634481,32.5931525447487
9.3,4000,20.3333333333333,21.6666666666667,8853.49207191465,31.7359812949767
9.3,4000,20.3333333333333,25,8426.19002579007,30.6528195323654
9.3,4000,22.6666666666667,15,9453.54921059174,33.0070340820619
9.3,4000,22.6666666666667,18.3333333333333,8985.94661663035,31.913766802584
9.3,4000,22.6666666666667,21.6666666666667,8549.63349090483,30.9307126132348
